grid,revisit_penalty,bias_factor,avg steps to goal,reached goal %,hit obstacle %,steps to goal list
map_environment/map_files/grid_world_1.csv,1.1,0.0,72.14,1.0,0.0,"[63, 131, 31, 31, 25, 57, 35, 63, 29, 27, 137, 55, 27, 173, 63, 21, 103, 113, 111, 83, 47, 67, 55, 145, 61, 145, 37, 83, 101, 51, 101, 29, 79, 139, 89, 95, 35, 35, 111, 77, 103, 27, 45, 169, 49, 131, 111, 61, 79, 87, 119, 153, 65, 39, 103, 37, 21, 21, 47, 29, 25, 73, 27, 81, 93, 103, 183, 63, 73, 31, 37, 55, 55, 73, 23, 93, 41, 91, 125, 57, 99, 41, 143, 71, 41, 43, 101, 63, 53, 37, 99, 59, 63, 35, 125, 33, 39, 57, 81, 73]"
map_environment/map_files/grid_world_2.csv,1.1,0.0,71.3,1.0,0.0,"[63, 19, 65, 91, 35, 59, 81, 89, 113, 75, 117, 71, 35, 43, 31, 47, 43, 101, 81, 63, 83, 109, 19, 57, 97, 35, 75, 57, 47, 31, 35, 49, 41, 55, 119, 147, 43, 75, 51, 77, 41, 49, 53, 91, 119, 75, 43, 87, 107, 95, 89, 51, 23, 83, 51, 79, 23, 57, 147, 25, 81, 27, 139, 91, 51, 27, 69, 87, 89, 103, 21, 65, 95, 99, 105, 85, 101, 127, 29, 67, 131, 71, 157, 101, 41, 129, 41, 67, 73, 39, 35, 83, 77, 39, 101, 39, 123, 139, 39, 35]"
map_environment/map_files/grid_world_3.csv,1.1,0.0,102.73493975903614,0.83,0.0,"[141, 193, 109, 139, 137, 55, 135, 43, 19, 123, 71, 33, 123, 79, 117, 87, 41, 77, 149, 37, 25, 151, 25, 47, 153, 191, 103, 63, 173, 65, 55, 61, 197, 115, 93, 87, 193, 137, 99, 155, 101, 69, 147, 27, 35, 139, 109, 55, 121, 77, 155, 61, 153, 185, 49, 77, 191, 43, 39, 137, 197, 45, 177, 83, 19, 97, 47, 25, 103, 117, 77, 195, 71, 113, 161, 39, 87, 153, 113, 77, 171, 167, 127]"
map_environment/map_files/grid_world_1.csv,1.1,0.1,17.0,1.0,0.0,"[17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17]"
map_environment/map_files/grid_world_2.csv,1.1,0.1,42.42,1.0,0.0,"[41, 17, 65, 61, 17, 17, 59, 73, 17, 69, 53, 29, 65, 17, 27, 43, 53, 51, 71, 17, 105, 45, 31, 17, 17, 73, 55, 81, 37, 17, 53, 55, 25, 57, 17, 63, 17, 63, 17, 91, 63, 47, 55, 17, 49, 77, 53, 69, 17, 17, 57, 81, 17, 25, 51, 17, 17, 17, 59, 73, 71, 17, 17, 57, 61, 31, 17, 43, 17, 17, 57, 45, 45, 47, 57, 17, 57, 81, 51, 35, 17, 17, 17, 69, 67, 17, 41, 17, 17, 17, 17, 17, 17, 57, 61, 17, 17, 75, 69, 83]"
map_environment/map_files/grid_world_3.csv,1.1,0.1,65.16,1.0,0.0,"[165, 135, 17, 139, 119, 107, 17, 83, 107, 17, 109, 105, 17, 17, 99, 17, 67, 67, 117, 17, 17, 17, 17, 17, 101, 17, 17, 17, 17, 17, 17, 75, 17, 79, 17, 17, 181, 141, 101, 139, 97, 139, 91, 87, 105, 119, 17, 17, 93, 17, 179, 17, 79, 73, 17, 17, 61, 135, 17, 17, 17, 79, 93, 67, 71, 55, 17, 17, 91, 107, 137, 17, 137, 91, 115, 17, 17, 119, 137, 131, 81, 17, 17, 17, 107, 105, 17, 17, 17, 17, 131, 17, 101, 71, 117, 17, 97, 17, 17, 17]"
map_environment/map_files/grid_world_1.csv,1.1,0.2,17.0,1.0,0.0,"[17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17]"
map_environment/map_files/grid_world_2.csv,1.1,0.2,42.12,1.0,0.0,"[45, 109, 45, 71, 17, 17, 45, 17, 53, 31, 17, 17, 91, 77, 55, 17, 17, 17, 81, 53, 17, 57, 27, 81, 17, 67, 25, 107, 17, 73, 71, 65, 47, 63, 49, 17, 17, 69, 59, 53, 17, 49, 49, 57, 43, 69, 17, 47, 17, 17, 63, 49, 45, 45, 63, 57, 49, 17, 17, 17, 17, 49, 39, 41, 57, 61, 17, 59, 77, 45, 17, 17, 17, 17, 67, 17, 49, 53, 59, 77, 57, 43, 17, 47, 83, 17, 17, 17, 57, 17, 17, 95, 17, 17, 17, 63, 17, 17, 17, 17]"
map_environment/map_files/grid_world_3.csv,1.1,0.2,57.303030303030305,0.99,0.01,"[17, 17, 123, 17, 17, 137, 87, 17, 17, 17, 17, 115, 93, 17, 17, 17, 17, 17, 79, 17, 117, 107, 113, 17, 167, 17, 17, 17, 81, 17, 115, 121, 17, 17, 17, 119, 17, 101, 87, 17, 83, 93, 91, 89, 71, 55, 17, 17, 69, 147, 95, 97, 17, 89, 109, 17, 17, 69, 17, 83, 17, 17, 125, 17, 103, 135, 17, 17, 119, 97, 75, 17, 17, 105, 17, 17, 103, 17, 17, 17, 41, 143, 17, 99, 109, 17, 101, 145, 17, 57, 17, 95, 17, 111, 17, 17, 17, 17, 41]"
map_environment/map_files/grid_world_1.csv,1.1,0.3,17.0,1.0,0.0,"[17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17]"
map_environment/map_files/grid_world_2.csv,1.1,0.3,37.8,1.0,0.0,"[17, 55, 17, 71, 63, 17, 41, 17, 47, 17, 17, 67, 17, 17, 17, 45, 35, 47, 37, 17, 37, 49, 63, 35, 67, 17, 17, 55, 51, 17, 49, 25, 57, 45, 45, 57, 17, 65, 35, 81, 45, 25, 17, 35, 17, 101, 81, 83, 43, 17, 17, 57, 49, 17, 17, 67, 49, 17, 69, 25, 25, 69, 17, 87, 17, 17, 71, 47, 17, 17, 17, 33, 17, 17, 67, 17, 17, 69, 17, 17, 27, 17, 51, 17, 17, 17, 17, 55, 47, 37, 45, 17, 51, 17, 103, 17, 17, 39, 39, 51]"
map_environment/map_files/grid_world_3.csv,1.1,0.3,64.88,1.0,0.0,"[83, 103, 17, 17, 73, 121, 103, 17, 17, 17, 105, 17, 17, 17, 17, 17, 125, 135, 17, 123, 65, 17, 17, 17, 67, 17, 115, 97, 17, 135, 17, 17, 101, 17, 17, 151, 17, 17, 113, 17, 71, 17, 17, 87, 17, 107, 91, 161, 133, 133, 17, 17, 17, 17, 17, 17, 17, 125, 141, 17, 17, 85, 67, 149, 111, 17, 17, 99, 111, 129, 107, 17, 17, 17, 137, 101, 105, 103, 101, 83, 105, 17, 69, 17, 73, 17, 105, 105, 17, 97, 17, 17, 107, 119, 127, 63, 149, 101, 17, 117]"
map_environment/map_files/grid_world_1.csv,1.1,0.4,17.0,1.0,0.0,"[17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17]"
map_environment/map_files/grid_world_2.csv,1.1,0.4,41.0,1.0,0.0,"[27, 51, 53, 47, 27, 17, 49, 69, 17, 17, 93, 17, 79, 55, 79, 17, 53, 17, 53, 25, 57, 17, 29, 17, 47, 17, 17, 17, 17, 17, 17, 83, 61, 17, 17, 17, 73, 57, 43, 49, 17, 17, 17, 49, 27, 45, 69, 39, 71, 57, 17, 41, 75, 17, 47, 41, 53, 63, 65, 17, 17, 17, 63, 51, 67, 87, 37, 53, 17, 53, 57, 17, 73, 17, 43, 17, 65, 17, 63, 67, 17, 69, 41, 17, 53, 17, 49, 69, 65, 59, 17, 17, 59, 65, 31, 39, 17, 17, 63, 29]"
