grid,revisit_penalty,bias_factor,avg steps to goal,reached goal %,hit obstacle %,steps to goal list
map_environment/map_files/grid_world_2.csv,0.0,0.8,17.0,0.41,0.0,"[17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17]"
map_environment/map_files/grid_world_3.csv,0.0,0.8,17.0,0.54,0.0,"[17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17]"
map_environment/map_files/grid_world_1.csv,0.0,0.9,17.0,1.0,0.0,"[17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17]"
map_environment/map_files/grid_world_2.csv,0.0,0.9,17.0,0.36,0.0,"[17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17]"
map_environment/map_files/grid_world_3.csv,0.0,0.9,17.0,0.5,0.0,"[17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17]"
map_environment/map_files/grid_world_1.csv,0.0,1.0,17.0,1.0,0.0,"[17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17]"
map_environment/map_files/grid_world_2.csv,0.0,1.0,17.0,0.39,0.0,"[17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17]"
map_environment/map_files/grid_world_3.csv,0.0,1.0,17.0,0.56,0.0,"[17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17]"
map_environment/map_files/grid_world_1.csv,0.1,0.0,79.86,1.0,0.0,"[53, 65, 175, 43, 131, 31, 53, 81, 17, 131, 53, 39, 145, 97, 149, 177, 125, 103, 69, 73, 37, 49, 65, 37, 73, 41, 75, 59, 27, 29, 85, 105, 41, 47, 85, 115, 177, 61, 141, 73, 153, 35, 103, 115, 49, 89, 65, 77, 115, 77, 51, 101, 33, 57, 55, 39, 43, 121, 87, 57, 41, 57, 23, 103, 19, 157, 101, 87, 95, 107, 177, 117, 55, 33, 133, 65, 75, 65, 71, 51, 117, 31, 85, 61, 93, 121, 35, 35, 135, 145, 43, 35, 161, 75, 39, 51, 79, 155, 61, 43]"
map_environment/map_files/grid_world_2.csv,0.1,0.0,66.84,1.0,0.0,"[19, 17, 27, 77, 135, 69, 103, 65, 105, 55, 45, 95, 57, 39, 87, 59, 85, 61, 43, 89, 77, 59, 29, 97, 87, 119, 91, 53, 43, 29, 41, 49, 71, 41, 79, 93, 73, 45, 101, 17, 99, 39, 71, 85, 79, 53, 55, 75, 55, 83, 85, 57, 61, 77, 79, 35, 37, 47, 85, 55, 109, 45, 93, 79, 99, 41, 35, 51, 93, 39, 75, 33, 87, 21, 39, 153, 21, 45, 65, 45, 121, 47, 81, 49, 95, 35, 99, 69, 25, 163, 67, 87, 63, 105, 59, 59, 43, 67, 73, 71]"
map_environment/map_files/grid_world_3.csv,0.1,0.0,101.0909090909091,0.88,0.0,"[183, 67, 171, 19, 57, 87, 159, 53, 35, 123, 105, 157, 99, 157, 133, 103, 21, 157, 119, 101, 131, 59, 35, 33, 111, 119, 117, 43, 129, 41, 71, 91, 171, 125, 77, 183, 197, 169, 65, 163, 105, 25, 39, 145, 17, 53, 97, 147, 117, 119, 65, 33, 95, 91, 95, 107, 105, 165, 141, 25, 61, 125, 47, 43, 151, 81, 67, 123, 145, 185, 57, 113, 95, 131, 179, 107, 135, 197, 27, 171, 59, 171, 129, 85, 63, 55, 31, 41]"
