grid,revisit_penalty,bias_factor,avg steps to goal,reached goal %,hit obstacle %,steps to goal list
map_environment/map_files/grid_world_1.csv,0.0,0.0,nan,0.0,0.0,[]
map_environment/map_files/grid_world_2.csv,0.0,0.0,nan,0.0,0.0,[]
map_environment/map_files/grid_world_3.csv,0.0,0.0,nan,0.0,0.0,[]
map_environment/map_files/grid_world_1.csv,0.0,0.1,17.0,1.0,0.0,"[17, 17]"
map_environment/map_files/grid_world_2.csv,0.0,0.1,17.0,1.0,0.0,"[17, 17]"
map_environment/map_files/grid_world_3.csv,0.0,0.1,nan,0.0,0.0,[]
map_environment/map_files/grid_world_1.csv,0.0,0.2,17.0,1.0,0.0,"[17, 17]"
map_environment/map_files/grid_world_2.csv,0.0,0.2,17.0,0.5,0.0,[17]
map_environment/map_files/grid_world_3.csv,0.0,0.2,nan,0.0,0.0,[]
map_environment/map_files/grid_world_1.csv,0.0,0.3,17.0,1.0,0.0,"[17, 17]"
map_environment/map_files/grid_world_2.csv,0.0,0.3,17.0,0.5,0.0,[17]
map_environment/map_files/grid_world_3.csv,0.0,0.3,17.0,0.5,0.0,[17]
map_environment/map_files/grid_world_1.csv,0.0,0.4,17.0,1.0,0.0,"[17, 17]"
map_environment/map_files/grid_world_2.csv,0.0,0.4,nan,0.0,0.0,[]
map_environment/map_files/grid_world_3.csv,0.0,0.4,17.0,0.5,0.0,[17]
map_environment/map_files/grid_world_1.csv,0.0,0.5,17.0,1.0,0.0,"[17, 17]"
map_environment/map_files/grid_world_2.csv,0.0,0.5,17.0,0.5,0.0,[17]
map_environment/map_files/grid_world_3.csv,0.0,0.5,nan,0.0,0.0,[]
map_environment/map_files/grid_world_1.csv,0.0,0.6,17.0,1.0,0.0,"[17, 17]"
map_environment/map_files/grid_world_2.csv,0.0,0.6,17.0,0.5,0.0,[17]
map_environment/map_files/grid_world_3.csv,0.0,0.6,17.0,0.5,0.0,[17]
map_environment/map_files/grid_world_1.csv,0.0,0.7,17.0,1.0,0.0,"[17, 17]"
map_environment/map_files/grid_world_2.csv,0.0,0.7,nan,0.0,0.0,[]
map_environment/map_files/grid_world_3.csv,0.0,0.7,17.0,1.0,0.0,"[17, 17]"
map_environment/map_files/grid_world_1.csv,0.0,0.8,17.0,1.0,0.0,"[17, 17]"
map_environment/map_files/grid_world_2.csv,0.0,0.8,nan,0.0,0.0,[]
map_environment/map_files/grid_world_3.csv,0.0,0.8,17.0,0.5,0.0,[17]
