grid,revisit_penalty,bias_factor,avg steps to goal,reached goal %,hit obstacle %,steps to goal list
map_environment/map_files/grid_world_1.csv,2.0,0.0,73.94,1.0,0.0,"[97, 81, 89, 47, 55, 165, 25, 103, 27, 77, 47, 127, 57, 27, 119, 31, 71, 115, 71, 71, 53, 33, 97, 109, 147, 109, 75, 91, 53, 49, 51, 35, 33, 119, 39, 43, 85, 75, 77, 35, 27, 79, 37, 33, 45, 93, 95, 131, 61, 29, 63, 157, 73, 79, 19, 47, 69, 55, 73, 147, 31, 29, 43, 133, 39, 71, 57, 49, 51, 69, 35, 37, 57, 127, 101, 131, 79, 85, 57, 59, 33, 161, 143, 111, 29, 69, 155, 113, 93, 143, 55, 23, 49, 83, 61, 97, 163, 27, 81, 43]"
map_environment/map_files/grid_world_2.csv,2.0,0.0,73.14,1.0,0.0,"[73, 49, 75, 83, 75, 23, 37, 35, 39, 95, 37, 87, 91, 115, 47, 37, 63, 109, 89, 117, 117, 67, 59, 41, 35, 47, 61, 121, 107, 87, 29, 49, 91, 45, 105, 135, 59, 87, 115, 59, 71, 43, 45, 83, 59, 87, 35, 33, 63, 61, 89, 37, 111, 59, 49, 37, 115, 55, 111, 149, 31, 35, 45, 101, 35, 111, 95, 111, 37, 105, 33, 161, 79, 99, 49, 79, 57, 63, 53, 107, 109, 157, 89, 25, 77, 39, 61, 29, 151, 65, 65, 127, 115, 115, 77, 37, 37, 61, 21, 87]"
map_environment/map_files/grid_world_3.csv,2.0,0.0,107.64102564102564,0.78,0.07,"[173, 63, 41, 91, 95, 191, 81, 71, 187, 101, 61, 127, 71, 175, 163, 45, 97, 199, 147, 49, 59, 29, 143, 115, 67, 39, 175, 69, 153, 157, 109, 27, 79, 149, 71, 193, 171, 193, 81, 147, 161, 61, 127, 31, 113, 65, 73, 115, 163, 165, 57, 59, 65, 141, 191, 111, 167, 115, 55, 93, 33, 113, 23, 109, 175, 65, 155, 93, 183, 49, 135, 39, 37, 137, 195, 133, 89, 51]"
map_environment/map_files/grid_world_1.csv,2.0,0.1,17.0,1.0,0.0,"[17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17]"
map_environment/map_files/grid_world_2.csv,2.0,0.1,41.64,1.0,0.0,"[45, 57, 83, 47, 17, 59, 57, 17, 55, 61, 17, 35, 17, 25, 17, 61, 69, 41, 17, 73, 17, 53, 17, 17, 91, 55, 63, 65, 49, 61, 17, 67, 49, 31, 17, 57, 17, 27, 55, 47, 17, 43, 17, 51, 37, 17, 17, 39, 39, 17, 17, 17, 17, 17, 61, 31, 17, 85, 17, 47, 59, 17, 17, 45, 65, 65, 47, 59, 17, 59, 17, 37, 57, 71, 51, 17, 17, 59, 65, 53, 17, 43, 77, 49, 17, 69, 57, 17, 79, 65, 69, 69, 25, 17, 17, 17, 25, 49, 55, 75]"
map_environment/map_files/grid_world_3.csv,2.0,0.1,46.54430379746835,0.79,0.21,"[17, 17, 17, 17, 127, 17, 113, 127, 17, 115, 99, 107, 17, 17, 101, 17, 17, 105, 143, 17, 17, 17, 17, 17, 17, 17, 99, 17, 85, 107, 71, 17, 17, 17, 17, 107, 57, 17, 17, 141, 17, 17, 17, 17, 97, 103, 89, 91, 17, 17, 17, 17, 17, 111, 75, 17, 17, 17, 17, 17, 61, 17, 17, 17, 17, 17, 17, 17, 17, 101, 91, 17, 17, 103, 105, 17, 17, 17, 79]"
map_environment/map_files/grid_world_1.csv,2.0,0.2,17.0,1.0,0.0,"[17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17]"
map_environment/map_files/grid_world_2.csv,2.0,0.2,42.56,1.0,0.0,"[17, 17, 27, 45, 55, 61, 17, 45, 75, 51, 17, 37, 27, 17, 55, 51, 69, 49, 25, 17, 61, 57, 37, 83, 43, 17, 67, 39, 69, 27, 61, 61, 37, 17, 17, 45, 39, 57, 53, 17, 53, 71, 49, 17, 25, 73, 17, 49, 17, 77, 17, 17, 55, 37, 55, 69, 17, 17, 25, 57, 57, 63, 17, 63, 57, 49, 59, 65, 17, 17, 17, 17, 17, 17, 17, 65, 75, 17, 17, 17, 81, 73, 83, 45, 41, 43, 17, 49, 51, 59, 83, 51, 25, 41, 41, 47, 37, 61, 39, 57]"
map_environment/map_files/grid_world_3.csv,2.0,0.2,52.975,0.8,0.2,"[95, 93, 59, 111, 77, 17, 97, 71, 89, 111, 95, 17, 17, 17, 17, 75, 113, 111, 17, 103, 17, 119, 63, 17, 69, 99, 79, 17, 119, 17, 91, 17, 53, 79, 17, 103, 17, 109, 17, 17, 117, 17, 101, 17, 113, 17, 17, 17, 17, 17, 17, 17, 115, 17, 17, 131, 17, 17, 17, 123, 17, 17, 83, 115, 17, 17, 17, 99, 17, 17, 17, 17, 17, 105, 17, 17, 17, 105, 17, 17]"
map_environment/map_files/grid_world_1.csv,2.0,0.3,17.0,1.0,0.0,"[17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17]"
map_environment/map_files/grid_world_2.csv,2.0,0.3,40.2,1.0,0.0,"[17, 73, 65, 17, 77, 57, 77, 61, 81, 17, 83, 33, 37, 17, 67, 51, 29, 45, 31, 63, 17, 17, 25, 17, 57, 41, 51, 17, 17, 49, 17, 17, 25, 77, 17, 25, 85, 39, 17, 45, 25, 17, 71, 17, 49, 17, 69, 61, 65, 17, 25, 17, 65, 67, 55, 75, 51, 59, 37, 17, 25, 45, 51, 17, 73, 59, 17, 17, 59, 17, 17, 31, 57, 49, 51, 17, 25, 17, 17, 25, 17, 47, 73, 57, 17, 17, 17, 61, 71, 17, 17, 17, 59, 17, 73, 45, 33, 65, 51, 17]"
map_environment/map_files/grid_world_3.csv,2.0,0.3,51.5974025974026,0.77,0.23,"[111, 17, 113, 17, 77, 17, 17, 17, 17, 77, 109, 121, 87, 17, 17, 17, 125, 17, 97, 17, 17, 17, 17, 113, 83, 101, 17, 17, 85, 53, 17, 91, 17, 99, 17, 17, 115, 17, 17, 17, 17, 17, 17, 99, 17, 115, 105, 17, 103, 17, 17, 17, 103, 17, 99, 17, 79, 17, 17, 115, 99, 17, 17, 17, 17, 111, 17, 17, 61, 17, 61, 17, 97, 111, 99, 17, 111]"
map_environment/map_files/grid_world_1.csv,2.0,0.4,17.0,1.0,0.0,"[17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17]"
map_environment/map_files/grid_world_2.csv,2.0,0.4,41.44,1.0,0.0,"[71, 51, 17, 49, 35, 17, 53, 59, 71, 45, 17, 17, 43, 17, 39, 17, 65, 63, 75, 25, 59, 39, 35, 17, 55, 17, 65, 73, 17, 61, 73, 17, 43, 17, 17, 37, 17, 17, 57, 61, 61, 89, 17, 45, 65, 61, 73, 73, 81, 17, 17, 17, 49, 95, 17, 17, 17, 25, 17, 17, 67, 55, 17, 17, 17, 75, 49, 17, 59, 17, 43, 17, 17, 17, 17, 77, 67, 59, 57, 47, 59, 73, 17, 17, 65, 25, 77, 17, 63, 53, 25, 17, 37, 17, 67, 17, 17, 69, 39, 55]"
map_environment/map_files/grid_world_3.csv,2.0,0.4,38.8876404494382,0.89,0.11,"[17, 17, 17, 119, 17, 17, 17, 119, 17, 17, 17, 69, 17, 95, 17, 81, 97, 17, 17, 93, 17, 85, 83, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 133, 17, 17, 17, 53, 17, 95, 17, 17, 17, 17, 17, 87, 107, 17, 125, 17, 95, 17, 17, 17, 105, 17, 17, 17, 17, 85, 67, 115, 17, 17, 17, 17, 79, 17, 17, 17, 85, 17, 17, 17, 17, 17, 17, 101, 93, 17, 107, 17, 17]"
map_environment/map_files/grid_world_1.csv,2.0,0.5,17.0,1.0,0.0,"[17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17]"
map_environment/map_files/grid_world_2.csv,2.0,0.5,40.92,1.0,0.0,"[17, 17, 17, 63, 63, 17, 59, 65, 55, 17, 51, 17, 17, 43, 51, 47, 77, 69, 59, 17, 17, 75, 63, 61, 51, 17, 43, 29, 17, 17, 29, 49, 43, 17, 17, 43, 87, 35, 17, 17, 73, 81, 17, 17, 17, 25, 17, 45, 17, 17, 59, 17, 61, 49, 63, 47, 17, 25, 69, 17, 57, 69, 69, 49, 43, 53, 17, 17, 73, 17, 51, 59, 61, 25, 81, 33, 59, 17, 55, 17, 55, 17, 39, 17, 17, 43, 71, 17, 51, 17, 49, 35, 67, 31, 57, 49, 75, 45, 41, 45]"
map_environment/map_files/grid_world_3.csv,2.0,0.5,48.09756097560975,0.82,0.18,"[17, 119, 85, 97, 17, 79, 17, 17, 17, 95, 17, 41, 105, 83, 17, 113, 89, 83, 99, 111, 99, 17, 17, 17, 17, 17, 17, 109, 17, 17, 79, 97, 17, 111, 17, 81, 17, 17, 17, 17, 17, 59, 17, 17, 17, 99, 17, 17, 89, 17, 17, 55, 91, 83, 67, 17, 113, 17, 17, 121, 65, 17, 17, 17, 17, 63, 17, 17, 17, 17, 109, 17, 101, 73, 17, 17, 17, 17, 17, 17, 87, 95]"
map_environment/map_files/grid_world_1.csv,2.0,0.6,17.0,1.0,0.0,"[17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17]"
map_environment/map_files/grid_world_2.csv,2.0,0.6,37.66,1.0,0.0,"[57, 25, 17, 25, 17, 45, 65, 43, 53, 47, 47, 41, 53, 51, 45, 33, 53, 17, 17, 17, 17, 67, 65, 77, 17, 55, 17, 63, 17, 17, 47, 59, 17, 73, 61, 17, 41, 25, 17, 31, 31, 17, 17, 67, 65, 53, 17, 25, 17, 17, 17, 69, 41, 41, 17, 17, 17, 61, 17, 17, 17, 59, 17, 17, 17, 51, 17, 17, 63, 97, 57, 17, 77, 57, 45, 17, 63, 17, 77, 73, 47, 53, 51, 17, 43, 69, 27, 17, 67, 17, 17, 17, 17, 49, 17, 25, 53, 17, 49, 17]"
map_environment/map_files/grid_world_3.csv,2.0,0.6,49.1219512195122,0.82,0.18,"[93, 17, 105, 17, 71, 17, 17, 55, 111, 107, 105, 103, 17, 17, 17, 91, 17, 17, 61, 17, 105, 17, 81, 17, 17, 17, 17, 63, 95, 95, 69, 17, 93, 103, 17, 17, 17, 17, 69, 17, 17, 17, 17, 17, 17, 17, 77, 17, 73, 17, 17, 109, 115, 59, 17, 63, 57, 17, 69, 17, 127, 17, 17, 17, 73, 111, 89, 99, 85, 17, 17, 17, 49, 17, 45, 17, 17, 87, 115, 17, 103, 17]"
map_environment/map_files/grid_world_1.csv,2.0,0.7,17.0,1.0,0.0,"[17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17]"
map_environment/map_files/grid_world_2.csv,2.0,0.7,39.44,1.0,0.0,"[99, 87, 17, 17, 43, 17, 17, 17, 25, 27, 17, 75, 17, 47, 39, 17, 65, 79, 57, 87, 43, 79, 17, 17, 17, 17, 17, 17, 67, 17, 41, 67, 17, 17, 17, 17, 17, 77, 65, 63, 27, 39, 31, 17, 67, 17, 17, 17, 17, 17, 25, 69, 17, 81, 43, 17, 73, 93, 91, 61, 17, 55, 43, 17, 17, 63, 17, 69, 17, 45, 75, 25, 63, 53, 51, 17, 79, 17, 57, 41, 17, 17, 59, 17, 17, 67, 37, 47, 17, 65, 57, 25, 25, 17, 37, 17, 83, 35, 17, 25]"
